id;fecha_inicio;fecha_fin;lenguaje
1;2026-02-26T02:30:14;2026-02-26T06:45:29;PORTUGUES
2;2026-02-26T12:56:02;2026-02-26T10:07:58;INGLES
3;2026-02-25T18:37:47;2026-02-26T09:40:43;PORTUGUES
4;2026-02-26T15:01:11;2026-02-26T08:13:50;ESPANOL
5;2026-02-25T17:23:01;2026-02-26T01:03:01;INGLES
6;2026-02-25T18:56:58;2026-02-26T13:10:52;INGLES
7;2026-02-26T08:50:16;2026-02-25T19:57:21;INGLES
8;2026-02-26T03:50:43;2026-02-26T15:52:30;INGLES
9;2026-02-26T09:42:54;2026-02-26T08:54:59;ESPANOL
10;2026-02-26T04:52:55;2026-02-25T21:05:11;PORTUGUES
